,prefix,subject,fwh,mask,stat,mean,std
1326,rr,sub-36,5,union,sig,8.852286575518848,1.3522216435193928
1325,rr,sub-xp201,19,union,std,0.43176522850990295,0.3458003103733063
1324,rr.rs,sub-xp201,5,union,std,6.384651184082031,6.689550399780273
1323,rr,sub-CTS201,10,union,sig,9.259792631281092,1.036156411952236
1322,rr,sub-36,17,union,mean,394.5197448730469,37.092708587646484
1321,rr,sub-1,13,union,mean,674.489501953125,73.69934844970703
1320,rr,sub-xp201,15,union,mean,622.3887329101562,66.02336883544922
1319,rr,sub-xp207,19,union,sig,8.900310170826652,0.9170334920966662
1318,rs,sub-1,18,union,sig,7.046769267429701,0.30157407603322767
1317,rs,sub-CTS210,2,union,std,2.6800687313079834,2.698895215988159
1316,rr,sub-adult15,1,union,mean,3923.53564453125,1300.671875
1315,rr.rs,sub-adult16,19,union,std,5.889983654022217,5.243331432342529
1314,rs,sub-adult15,2,union,mean,3914.213623046875,1195.7220458984375
1313,rs,sub-adult15,5,union,std,14.568880081176758,14.730635643005371
1312,rr,sub-36,18,union,mean,393.6192932128906,36.607337951660156
1311,rr.rs,sub-CTS210,18,union,std,0.34653452038764954,0.3075008690357208
1310,rr.rs,sub-xp201,18,union,sig,5.975516807430654,1.4410942598545278
1309,rs,sub-CTS210,6,union,std,1.0125919580459595,1.0933033227920532
1308,rr,sub-1,20,union,std,0.6435873508453369,0.4686174988746643
1307,rs,sub-adult15,1,union,std,37.307254791259766,51.879417419433594
1306,rr.rs,sub-xp201,1,union,std,12.223320960998535,13.587526321411133
1305,rr.rs,sub-xp207,18,union,std,0.7471913695335388,0.683265745639801
1304,rr.rs,sub-36,20,union,std,0.39538779854774475,0.21490758657455444
1303,rr.rs,sub-adult16,13,union,mean,5519.021484375,874.0606689453125
1302,rr,sub-CTS201,14,union,sig,9.385403674505831,0.8935375526553656
1301,rs,sub-adult15,9,union,std,10.112451553344727,7.281251907348633
1300,rs,sub-adult15,17,union,std,7.950089454650879,4.354975700378418
1299,rr.rs,sub-adult16,15,union,std,6.4915056228637695,6.147242546081543
1298,rr.rs,sub-36,20,union,mean,391.81683349609375,35.833091735839844
1297,rr,sub-xp207,15,union,sig,8.779567229954283,1.0300411800367986
1296,rr.rs,sub-xp201,10,union,sig,5.778228400977274,1.4189451797433204
1295,rr.rs,sub-CTS210,10,union,std,0.5520578026771545,0.5651826858520508
1294,rs,sub-1,14,union,sig,7.030494596385818,0.32535797935933547
1293,rs,sub-adult15,11,union,mean,3830.931884765625,703.3370361328125
1292,rs,sub-adult16,2,union,std,18.75938606262207,25.517995834350586
1291,rr.rs,sub-CTS201,11,union,mean,390.4278259277344,45.59976577758789
1290,rr,sub-xp201,15,union,std,0.5005078315734863,0.4575819671154022
1289,rr.rs,sub-xp201,9,union,std,4.761279582977295,4.7552995681762695
1288,rs,sub-36,3,union,std,1.1878259181976318,1.6057910919189453
1287,rr.rs,sub-xp207,10,union,std,1.1639125347137451,1.9140851497650146
1286,rr,sub-CTS201,20,union,mean,380.62890625,42.61134338378906
1285,rr,sub-adult16,16,union,mean,5495.28515625,793.7933349609375
1284,rr,sub-CTS210,4,union,mean,115.87438201904297,12.455583572387695
1283,rr,sub-CTS201,18,union,sig,9.445532909785596,0.796618553177063
1282,rr.rs,sub-xp207,14,union,std,0.8806126713752747,1.0501034259796143
1281,rs,sub-36,7,union,std,0.6704152822494507,0.7308642864227295
1280,rr.rs,sub-CTS210,18,union,mean,112.78900146484375,7.008433818817139
1279,rs,sub-adult16,6,union,std,9.925923347473145,11.120451927185059
1278,rr,sub-xp201,11,union,std,0.6324609518051147,0.6568880677223206
1277,rr,sub-adult16,19,union,mean,5467.21484375,732.4343872070312
1276,rr.rs,sub-adult16,11,union,std,7.571110248565674,7.621710300445557
1275,rs,sub-adult15,13,union,std,8.638461112976074,5.19516658782959
1274,rs,sub-1,10,union,sig,7.004832881037511,0.3938139985431117
1273,rr.rs,sub-xp201,14,union,sig,5.898841461488237,1.4265666417786609
1272,rr.rs,sub-CTS210,14,union,std,0.4071308970451355,0.3888089954853058
1271,rr,sub-xp207,11,union,sig,8.561629165206504,1.1647363450951107
1270,rr.rs,sub-CTS210,17,union,mean,113.0229721069336,6.983726501464844
1269,rr.rs,sub-adult15,2,union,std,29.098295211791992,37.425540924072266
1268,rr.rs,sub-xp207,0,union,mean,465.59674072265625,107.12552642822266
1267,rs,sub-xp207,4,union,mean,461.89691162109375,76.69403839111328
1266,rr,sub-36,10,union,sig,9.28835327587695,1.0205888175756859
1265,rs,sub-CTS210,2,union,mean,116.58817291259766,15.321595191955566
1264,rr,sub-adult16,12,union,sig,9.198590453084558,0.9962778548907236
1263,rr.rs,sub-CTS210,0,union,mean,116.89769744873047,18.89833641052246
1262,rr.rs,sub-adult16,9,union,std,8.513422966003418,8.964117050170898
1261,rr.rs,sub-adult15,20,union,sig,8.391796963035095,0.6776125726822796
1260,rr,sub-adult16,16,union,sig,9.32027826171786,0.8857449363655023
1259,rs,sub-CTS201,9,union,sig,8.62995309984736,0.9168195419629228
1258,rr,sub-xp207,5,union,mean,461.1461181640625,70.08700561523438
1257,rr.rs,sub-adult15,6,union,std,13.919012069702148,13.325000762939453
1256,rr,sub-36,14,union,sig,9.451840969184278,0.8236448236206506
1255,rs,sub-CTS201,1,union,sig,7.327251632060943,1.625267138264299
1254,rr.rs,sub-adult16,5,union,std,12.707108497619629,15.458907127380371
1253,rs,sub-1,12,union,mean,674.0040283203125,76.1347427368164
1252,rs,sub-CTS210,17,union,std,0.36956533789634705,0.3434714674949646
1251,rr.rs,sub-xp207,7,union,std,1.6755927801132202,3.42826771736145
1250,rr.rs,sub-xp201,11,union,mean,627.7645874023438,72.54885864257812
1249,rs,sub-CTS210,13,union,std,0.45001813769340515,0.44816431403160095
1248,rr,sub-36,18,union,sig,9.561724538312427,0.697751091400577
1247,rs,sub-adult16,4,union,mean,5627.24560546875,1339.3265380859375
1246,rr.rs,sub-xp207,3,union,std,3.8579835891723633,8.729899406433105
1245,rr,sub-adult16,7,union,mean,5580.123046875,1122.300537109375
1244,rr.rs,sub-36,3,union,mean,412.3023986816406,64.39049530029297
1243,rr.rs,sub-adult16,1,union,std,32.564361572265625,52.457584381103516
1242,rs,sub-CTS201,5,union,sig,8.418734629766321,1.1152008519387033
1241,rr,sub-adult16,8,union,mean,5567.75439453125,1068.403076171875
1240,rr,sub-1,3,union,mean,687.657470703125,126.14761352539062
1239,rs,sub-xp201,13,union,mean,624.9622192382812,68.67829132080078
1238,rs,sub-36,11,union,mean,400.5711669921875,41.68682098388672
1237,rr,sub-CTS210,9,union,sig,7.671813729200527,1.4879546941013004
1236,rr.rs,sub-1,17,union,std,3.420586347579956,0.4663631021976471
1235,rs,sub-xp207,12,union,std,1.0438274145126343,1.5093177556991577
1234,rs,sub-xp201,1,union,std,4.485416889190674,7.092808723449707
1233,rr.rs,sub-adult15,18,union,std,7.545883655548096,4.384519577026367
1232,rs,sub-36,13,union,std,0.4593243896961212,0.3487454354763031
1231,rs,sub-CTS201,11,union,sig,8.679695014464706,0.8576912476932569
1230,rr.rs,sub-36,0,union,sig,6.8886249037755265,1.6454379045002099
1229,rs,sub-xp201,12,union,sig,9.633129599944114,1.0342809910610204
1228,rr,sub-adult15,4,union,std,19.09052085876465,22.512252807617188
1227,rr.rs,sub-CTS210,8,union,std,0.6993107199668884,0.7384073138237
1226,rs,sub-xp201,16,union,sig,9.82082134421699,0.9408863304041667
1225,rs,sub-xp207,15,union,mean,454.3663024902344,41.30672836303711
1224,rr.rs,sub-36,4,union,sig,8.589627212077518,1.4259203778013878
1223,rr,sub-adult15,0,union,std,50.2442741394043,70.52501678466797
1222,rr,sub-CTS201,3,union,mean,396.76129150390625,68.14737701416016
1221,rr.rs,sub-xp207,18,union,mean,452.825439453125,38.167442321777344
