,prefix,subject,fwh,mask,stat,mean,std
728,rr,sub-36,6,union,sig,8.981610392740455,1.281083769518887
727,rr,sub-xp201,14,union,sig,9.886515325940001,1.1915795902437212
726,rs,sub-adult15,4,union,mean,3891.206787109375,1034.9285888671875
725,rr,sub-adult16,2,union,sig,8.106421693428583,1.6662718731200903
724,rs,sub-adult16,13,union,mean,5521.6650390625,874.7515869140625
723,rr,sub-adult15,7,union,mean,3859.933837890625,858.761474609375
722,rr,sub-adult16,6,union,sig,8.798646758614693,1.3017184638660704
721,rr,sub-xp201,10,union,sig,9.624344761493381,1.3308697780873857
720,rr,sub-36,2,union,sig,8.180706695060115,1.6015551703288866
719,rs,sub-CTS201,18,union,std,0.5089362263679504,0.3587445914745331
718,rr,sub-adult15,14,union,mean,3816.435302734375,623.062744140625
717,rr,sub-xp207,10,union,std,1.1067962646484375,1.6738816499710083
716,rr.rs,sub-adult15,10,union,sig,8.05249522683687,0.905485926664088
715,rr,sub-1,15,union,std,0.7401790618896484,0.62926185131073
714,rr.rs,sub-CTS201,11,union,std,0.5899615287780762,0.6449706554412842
713,rr.rs,sub-xp201,10,union,mean,629.3841552734375,74.64124298095703
712,rr.rs,sub-CTS210,9,union,sig,7.314737869078159,1.4665987897603088
711,rr.rs,sub-CTS210,14,union,mean,113.66960144042969,7.145602703094482
710,rs,sub-xp207,1,union,mean,465.2435302734375,102.30390167236328
709,rr,sub-xp201,20,union,mean,615.8167724609375,61.52215576171875
708,rs,sub-CTS201,8,union,std,0.6819689273834229,0.7483325004577637
707,rr,sub-adult16,1,union,mean,5670.39306640625,1667.7333984375
706,rs,sub-adult16,2,union,mean,5659.36376953125,1538.6534423828125
705,rr,sub-xp207,0,union,mean,465.8860168457031,107.34834289550781
704,rr.rs,sub-CTS201,12,union,mean,389.63336181640625,44.48782730102539
703,rr.rs,sub-CTS201,15,union,std,0.5184986591339111,0.44687825441360474
702,rr.rs,sub-adult15,10,union,mean,3836.22607421875,736.6510009765625
701,rr.rs,sub-1,9,union,sig,7.160906144539246,0.6175619999521915
700,rr,sub-xp207,19,union,mean,452.5930480957031,37.44236755371094
699,rs,sub-1,9,union,mean,676.4837036132812,87.02188873291016
698,rs,sub-adult16,13,union,std,6.884657859802246,6.994424819946289
697,rr.rs,sub-CTS210,5,union,sig,6.512989614251488,1.6481600906413993
696,rr.rs,sub-xp201,6,union,mean,637.0079345703125,88.11643981933594
695,rs,sub-CTS201,0,union,std,3.120401620864868,5.195919036865234
694,rr.rs,sub-1,1,union,sig,6.13331486484837,1.2809761220598164
693,rr,sub-xp207,16,union,mean,454.20843505859375,40.089698791503906
692,rs,sub-1,6,union,mean,680.2564697265625,102.88383483886719
691,rr,sub-CTS210,17,union,sig,8.314716345485598,1.2961261402764803
690,rr.rs,sub-xp201,9,union,mean,631.1172485351562,77.10771179199219
689,rs,sub-CTS201,0,union,mean,399.2801513671875,84.78718566894531
688,rr,sub-36,14,union,mean,397.2662353515625,38.983585357666016
687,rr.rs,sub-36,9,union,mean,402.9043273925781,44.40745162963867
686,rr.rs,sub-1,5,union,sig,6.894971636546584,0.8244900146939816
685,rs,sub-36,5,union,mean,409.21124267578125,54.70577621459961
684,rr.rs,sub-CTS201,19,union,std,0.4752785563468933,0.330228328704834
683,rr,sub-CTS210,13,union,sig,8.104855354982721,1.3626275362427869
682,rs,sub-adult16,17,union,std,6.366161823272705,6.167768478393555
681,rr.rs,sub-36,6,union,mean,407.3629150390625,51.27284622192383
680,rr.rs,sub-36,15,union,mean,396.3681945800781,38.2693977355957
679,rs,sub-CTS201,4,union,std,0.9829707145690918,1.3163821697235107
678,rr.rs,sub-CTS210,1,union,mean,116.82723999023438,17.452404022216797
677,rr.rs,sub-CTS210,1,union,sig,4.4352764378764515,1.4527245924592886
676,rr,sub-CTS201,11,union,std,0.5176178812980652,0.5450693368911743
675,rr,sub-adult16,17,union,sig,9.342093738634183,0.864387834525551
674,rr.rs,sub-adult16,19,union,sig,9.334399525806788,0.9543446805942032
673,rs,sub-xp207,13,union,sig,8.304680283062279,0.8560658490752989
672,rr.rs,sub-adult16,18,union,mean,5476.279296875,750.5214233398438
671,rr,sub-xp201,10,union,mean,629.6815185546875,74.15877532958984
670,rr,sub-CTS210,8,union,std,0.5647684931755066,0.6079220771789551
669,rr,sub-xp207,1,union,sig,6.273090609048852,1.8400360054995473
668,rs,sub-adult15,4,union,sig,7.513139983946771,1.2402905765724725
667,rr.rs,sub-adult16,17,union,mean,5485.6279296875,770.946044921875
666,rr.rs,sub-1,19,union,sig,7.344577881017316,0.5235798591317682
665,rr.rs,sub-adult15,20,union,mean,3781.729248046875,508.7628173828125
664,rs,sub-xp201,13,union,std,0.563275158405304,0.46286556124687195
663,rr.rs,sub-xp201,20,union,mean,615.5092163085938,61.94443893432617
662,rr.rs,sub-xp207,5,union,mean,460.8229064941406,69.93702697753906
661,rs,sub-adult15,0,union,sig,6.388413000770683,1.6966050591556612
660,rr,sub-xp207,5,union,sig,7.779294754834047,1.5644244818757471
659,rs,sub-xp201,17,union,std,0.4823518395423889,0.34164050221443176
658,rr,sub-adult16,13,union,sig,9.235136029283117,0.9647861300854637
657,rr,sub-CTS201,15,union,std,0.4517960250377655,0.36252376437187195
656,rs,sub-xp207,17,union,sig,8.445947090582107,0.7461177234551924
655,rr.rs,sub-1,15,union,sig,7.307860091673739,0.5415161364150357
654,rr.rs,sub-1,19,union,mean,664.5181884765625,64.36904907226562
653,rr,sub-xp201,3,union,mean,643.965087890625,108.13555908203125
652,rr.rs,sub-xp207,19,union,mean,452.2475280761719,37.41310501098633
651,rs,sub-adult15,8,union,sig,7.988502647290511,0.9401038707533808
650,rs,sub-xp201,3,union,sig,8.341287738263015,1.6601263563127453
649,rr.rs,sub-xp207,2,union,std,5.070876598358154,11.045903205871582
648,rs,sub-1,15,union,mean,671.2195434570312,69.11145782470703
647,rr.rs,sub-xp207,16,union,mean,453.8613586425781,40.057979583740234
646,rr.rs,sub-1,16,union,mean,668.7553100585938,67.46946716308594
645,rr.rs,sub-36,2,union,std,1.5859700441360474,2.3481972217559814
644,rr.rs,sub-adult16,15,union,sig,9.25203761522805,1.0354483793912017
643,rs,sub-adult16,3,union,sig,8.403066887192383,1.5034931543049892
642,rr,sub-CTS210,4,union,std,1.197622537612915,1.354304313659668
641,rr.rs,sub-adult15,3,union,mean,3900.2353515625,1114.6009521484375
640,rr.rs,sub-CTS210,17,union,sig,7.963088332238301,1.2618056751840836
639,rr,sub-CTS210,0,union,std,5.743056297302246,4.517344951629639
638,rs,sub-adult16,7,union,sig,8.969721103684101,1.193465134434706
637,rr.rs,sub-adult16,11,union,sig,9.117275340097374,1.153486324542542
636,rr.rs,sub-36,6,union,std,0.7854181528091431,0.9274672269821167
635,rr,sub-1,9,union,mean,677.74755859375,87.40499114990234
634,rr,sub-CTS201,19,union,std,0.414079487323761,0.26054295897483826
633,rr.rs,sub-CTS210,13,union,sig,7.744690744170741,1.338545747039568
632,rr,sub-1,6,union,mean,681.4351806640625,103.40540313720703
631,rs,sub-xp201,2,union,mean,645.8403930664062,117.75202941894531
630,rr.rs,sub-1,11,union,sig,7.228653111435548,0.5764114729883805
629,rr,sub-CTS210,1,union,mean,116.64411163330078,17.422138214111328
628,rr.rs,sub-xp207,6,union,std,1.9816417694091797,4.27016019821167
627,rr,sub-xp207,9,union,sig,8.38538907524596,1.257350338694517
626,rs,sub-xp201,7,union,sig,9.16600959164589,1.2753817908667857
625,rr.rs,sub-xp207,19,union,sig,8.687019108709453,0.6958813234237874
624,rs,sub-CTS210,8,union,mean,114.9344482421875,8.990169525146484
623,rr,sub-CTS201,7,union,sig,9.074252059907923,1.1971641902716859
622,rr,sub-1,14,union,mean,673.57470703125,71.35650634765625
621,rr,sub-xp207,20,union,sig,8.921610963072926,0.8921103894867658
620,rr.rs,sub-adult15,20,union,std,7.281026840209961,4.055308818817139
619,rs,sub-1,19,union,std,2.5163941383361816,0.413772314786911
618,rs,sub-xp207,1,union,sig,6.230796763864553,1.7590885763156159
617,rr.rs,sub-xp201,0,union,std,14.157816886901855,15.426251411437988
616,rr,sub-36,16,union,std,0.34090232849121094,0.27247267961502075
615,rs,sub-CTS210,7,union,mean,115.18128967285156,9.657289505004883
614,rr.rs,sub-xp201,19,union,std,3.7195188999176025,3.245460033416748
613,rs,sub-CTS210,13,union,mean,113.89250946044922,7.097016334533691
612,rr.rs,sub-adult15,5,union,sig,7.567405780523793,1.2425323037809282
611,rs,sub-xp207,20,union,mean,451.65838623046875,36.84309387207031
610,rr,sub-CTS210,10,union,mean,114.30167388916016,7.916562080383301
609,rr,sub-1,1,union,std,6.5229973793029785,10.295896530151367
608,rr,sub-xp201,20,union,std,0.41939854621887207,0.324968159198761
607,rr.rs,sub-adult15,1,union,sig,6.418776496902228,1.7409865566876195
606,rr.rs,sub-xp201,4,union,std,7.181392192840576,7.650875091552734
605,rr,sub-36,12,union,std,0.4119432270526886,0.3961118161678314
604,rr.rs,sub-CTS201,9,union,mean,391.8608093261719,48.73393249511719
603,rs,sub-xp207,5,union,sig,7.554435666420701,1.341077885106319
602,rr.rs,sub-adult16,5,union,mean,5607.59130859375,1256.2752685546875
601,rr.rs,sub-36,19,union,std,0.4031284749507904,0.22892530262470245
600,rr,sub-CTS201,19,union,mean,382.0065612792969,42.3840217590332
599,rr,sub-1,5,union,std,2.06725811958313,2.9979729652404785
598,rs,sub-CTS201,15,union,mean,386.8022766113281,42.47967529296875
597,rr.rs,sub-CTS201,6,union,mean,393.938232421875,56.3291130065918
596,rr,sub-CTS201,3,union,sig,8.538995320319174,1.5040305607415692
595,rr.rs,sub-1,5,union,mean,680.5773315429688,109.62394714355469
594,rs,sub-1,9,union,std,2.743168830871582,1.0296660661697388
593,rr,sub-CTS201,16,union,mean,385.7197265625,42.33323669433594
592,rr.rs,sub-36,11,union,std,0.526589035987854,0.45564356446266174
591,rr,sub-adult16,13,union,mean,5519.802734375,874.4854736328125
590,rs,sub-36,2,union,sig,8.010473251615936,1.5114103189173875
589,rr,sub-xp201,3,union,sig,8.375220251151369,1.846099176918192
588,rr.rs,sub-xp201,15,union,std,3.967787504196167,3.6059508323669434
587,rr.rs,sub-adult15,9,union,sig,7.986616539594929,0.9541892661891593
586,rs,sub-adult15,12,union,std,8.896267890930176,5.527871608734131
585,rr.rs,sub-adult16,2,union,sig,8.06560185266185,1.7513286298346178
584,rs,sub-1,1,union,std,6.530477046966553,8.55217170715332
583,rs,sub-1,15,union,std,2.564558267593384,0.5020095109939575
582,rr.rs,sub-xp207,15,union,sig,8.587290449253244,0.8045811539167316
581,rs,sub-CTS210,16,union,sig,7.892987735756355,1.33990278186681
580,rs,sub-1,11,union,std,2.650982618331909,0.7459303736686707
579,rs,sub-1,5,union,std,3.3094289302825928,2.5051207542419434
578,rr.rs,sub-adult16,6,union,sig,8.766231865847432,1.4032897899087828
577,rs,sub-adult15,16,union,std,8.086323738098145,4.520723819732666
576,rs,sub-xp201,16,union,mean,620.9588623046875,64.89376068115234
575,rs,sub-CTS210,12,union,sig,7.62853411519419,1.4381891085822396
574,rr.rs,sub-xp207,11,union,sig,8.410950665524497,0.9655289563595855
573,rs,sub-36,6,union,sig,8.808586441216875,1.2105389707519965
572,rr,sub-1,9,union,std,1.1282724142074585,1.2620718479156494
571,rs,sub-adult15,14,union,mean,3815.089111328125,621.9356689453125
570,rs,sub-xp201,19,union,mean,617.0410766601562,62.200225830078125
569,rr.rs,sub-36,15,union,std,0.446402907371521,0.3078067898750305
568,rs,sub-xp207,9,union,sig,8.067094129545787,1.0225266825013357
