,prefix,dataset,subject,fwh,mask,stat,mean,std
503,rr.rs,ds001748,sub-adult15,10,union,sig,7.086102355908786,1.5332384731878481
502,rr,ds002338,sub-xp207,17,union,sig,5.912613369762632,0.42404724679571737
501,rr,ds001771,sub-36,13,union,sig,6.895121915735547,1.3144966087644292
500,rs,ds002338,sub-xp207,15,union,mean,0.5218018889427185,0.08531389385461807
499,rr.rs,ds001748,sub-adult15,1,union,std,0.012836752459406853,0.0064215646125376225
498,rr.rs,ds001600,sub-1,20,union,std,0.002020816318690777,0.001647621626034379
497,rs,ds001748,sub-adult15,11,union,sig,7.780090995470752,1.652173856953795
496,rr,ds001600,sub-1,5,union,mean,0.7026491165161133,0.1531926840543747
495,rr.rs,ds002338,sub-xp207,6,union,mean,0.5669828653335571,0.10198994725942612
494,rr,ds001748,sub-adult16,3,union,std,0.002032660646364093,0.0026584849692881107
493,rr.rs,ds001748,sub-adult16,2,union,std,0.002616354962810874,0.0034420075826346874
492,rr,ds001600,sub-1,8,union,std,0.0024098691064864397,0.002611724892631173
491,rs,ds001771,sub-36,20,union,sig,7.577106341688713,1.3699077667334083
490,rs,ds002338,sub-xp201,3,union,mean,0.5660718083381653,0.10436119139194489
489,rr.rs,ds002338,sub-xp207,9,union,mean,0.5422135591506958,0.09176845848560333
488,rr.rs,ds000256,sub-CTS210,5,union,std,0.009128276258707047,0.008473541587591171
487,rr.rs,ds001748,sub-adult15,9,union,std,0.0018811705522239208,0.0020945356227457523
486,rs,ds001600,sub-1,4,union,std,0.003977581392973661,0.004531943239271641
485,rs,ds000256,sub-CTS210,4,union,std,0.015216315165162086,0.013635900802910328
484,rr.rs,ds001748,sub-adult15,18,union,sig,6.890328804809015,1.255163802235161
483,rr,ds001748,sub-adult15,8,union,std,0.0020414332393556833,0.0024121322203427553
482,rr.rs,ds000256,sub-CTS210,1,union,std,0.02068377286195755,0.012584518641233444
481,rr.rs,ds001600,sub-1,17,union,mean,0.6983550190925598,0.14215655624866486
