,prefix,subject,fwh,mask,stat,mean,std
1398,rr.rs,sub-CTS210,4,union,sig,6.221930030187674,1.6873972355875342
1397,rr.rs,sub-adult16,9,union,sig,9.012219594295473,1.2357475433695269
1396,rs,sub-adult15,7,union,sig,7.904101674716377,0.9915096329431198
1395,rs,sub-CTS210,5,union,std,1.2303624153137207,1.331936001777649
1394,rr.rs,sub-1,10,union,std,3.654420852661133,0.9819674491882324
1393,rr.rs,sub-adult15,2,union,sig,6.916704051129188,1.5811115622232208
1392,rs,sub-xp201,6,union,std,1.120509386062622,1.4122263193130493
1391,rr,sub-xp207,8,union,std,1.4029039144515991,2.3976798057556152
1390,rr,sub-1,17,union,std,0.6896697878837585,0.5494204163551331
1389,rr,sub-CTS201,12,union,std,0.4968417286872864,0.4885194003582001
1388,rr.rs,sub-xp201,3,union,sig,5.140425108995556,1.4695044358288498
1387,rs,sub-xp207,6,union,mean,459.898193359375,64.47361755371094
1386,rr.rs,sub-adult15,6,union,sig,7.706045439662541,1.1530842309294362
1385,rs,sub-adult16,8,union,sig,9.049954068949175,1.1444195053388775
1384,rr.rs,sub-1,14,union,std,3.484757900238037,0.5735290050506592
1383,rr.rs,sub-xp201,7,union,sig,5.595593578213526,1.4082706144703054
1382,rr,sub-xp207,7,union,mean,459.3419189453125,59.81786346435547
1381,rr,sub-CTS201,16,union,std,0.4406374394893646,0.33152538537979126
1380,rr,sub-1,13,union,std,0.8171560764312744,0.7472571730613708
1379,rs,sub-xp201,2,union,std,2.946626901626587,4.7579193115234375
1378,rr.rs,sub-CTS210,14,union,mean,113.66960144042969,7.145602703094482
1377,rr.rs,sub-36,3,union,sig,8.392252875066513,1.5043031500750652
1376,rs,sub-adult15,19,union,sig,8.378110579675077,0.7242368055784234
1375,rr,sub-xp207,8,union,mean,458.5660705566406,55.96509552001953
1374,rs,sub-CTS210,5,union,mean,115.73652648925781,11.398761749267578
1373,rs,sub-adult15,3,union,sig,7.311097407712586,1.3584654490158323
1372,rs,sub-CTS210,1,union,std,4.546680450439453,3.828909397125244
1371,rr.rs,sub-CTS210,0,union,sig,3.8113201577286717,1.330556172773993
1370,rr,sub-36,4,union,sig,8.68876007011148,1.428450489288583
1369,rs,sub-xp207,4,union,std,3.248180627822876,7.230854511260986
1368,rr.rs,sub-xp201,20,union,sig,6.002894305903663,1.4348128685278427
1367,rr.rs,sub-adult15,16,union,mean,3805.091796875,578.122802734375
1366,rs,sub-CTS210,15,union,sig,7.8440809008600505,1.362695051654901
1365,rr.rs,sub-xp207,1,union,sig,6.30752317390971,1.8007984920139237
1364,rr.rs,sub-1,0,union,mean,689.3113403320312,152.44488525390625
1363,rr.rs,sub-adult15,10,union,sig,8.05249522683687,0.905485926664088
1362,rr,sub-36,13,union,std,0.38957786560058594,0.35681530833244324
1361,rr,sub-adult16,18,union,std,6.008203506469727,3.7668681144714355
1360,rr.rs,sub-adult15,19,union,mean,3788.23583984375,523.8910522460938
1359,rr,sub-CTS210,3,union,mean,116.17425537109375,13.773234367370605
1358,rr.rs,sub-xp207,20,union,std,0.7045274972915649,0.5743459463119507
1357,rr.rs,sub-CTS201,7,union,std,0.7416842579841614,1.0133914947509766
1356,rr.rs,sub-CTS210,10,union,sig,7.448172231521743,1.428679198993257
1355,rs,sub-CTS201,6,union,sig,8.496456767071017,1.0503899639559984
1354,rs,sub-adult15,12,union,mean,3825.359619140625,673.92724609375
1353,rr,sub-36,17,union,std,0.32905471324920654,0.2521807849407196
1352,rs,sub-CTS201,2,union,sig,7.95786583992111,1.3999020876889283
1351,rr,sub-adult16,15,union,mean,5503.638671875,818.42041015625
1350,rr.rs,sub-CTS201,3,union,std,1.2350668907165527,1.995074987411499
1349,rr.rs,sub-CTS210,14,union,sig,7.815510444627133,1.3138215420698216
1348,rr.rs,sub-xp207,5,union,sig,7.719322906124077,1.42004187233325
1347,rr.rs,sub-1,9,union,sig,7.160906144539246,0.6175619999521915
1346,rs,sub-xp207,0,union,std,9.963899612426758,16.7290096282959
1345,rs,sub-CTS210,11,union,sig,7.527974289059785,1.46757630237843
1344,rr.rs,sub-adult15,14,union,sig,8.233810578775264,0.7729357126138622
1343,rr,sub-adult15,9,union,mean,3844.336181640625,773.2413940429688
1342,rr,sub-adult16,14,union,std,6.608950138092041,4.727269172668457
1341,rs,sub-adult15,5,union,mean,3879.903564453125,967.0528564453125
1340,rr,sub-xp201,6,union,std,1.150207281112671,1.4671728610992432
1339,rs,sub-CTS210,19,union,sig,7.9935173692673125,1.288712780709917
1338,rr,sub-adult15,6,union,mean,3869.158203125,910.6153564453125
